Title,Body (HTML),Handle,Status,Vendor,Product Category,Type,Unit Type,Tags,Published,Variant Grams,Variant Price,Variant Requires Shipping,Variant Fulfillment Service,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title
"Gold Bond Diabetic Skin Relief Lotion - 13 oz","Gold Bond Diabetics' Dry Skin Relief Lotion combines seven intensive moisturizers, three vitamins, and aloe to nourish and moisturize dry, flaky skin. This Gold Bond lotion moisturizes diabetics' dry skin with no harsh acids, so it is gentle enough for daily use when used as directed.","Gold-Bond-Diabetic-Skin-Relief-Lotion---13-oz",active,GeissMed,Health & Beauty > Health Care,Product,box,diabetes,TRUE,,$10.99,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/041167053508/gb_dia_1",1,"Gold Bond Diabetic Skin Relief Lotion - 13 oz","Gold Bond Diabetic Skin Relief Lotion - 13 oz"
"Sunmark TRUEplus Glucose Tablets, Orange - 50 ct","4 grams of fast acting carbohydrates per tablet. Raises low blood sugar and boosts energy. 50 tablets.","Sunmark-TRUEplus-Glucose-Tablets-Orange---50-ct",active,GeissMed,Health & Beauty > Health Care,Product,box,diabetes,TRUE,,$3.65,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/010939704443/2903268",1,"Sunmark TRUEplus Glucose Tablets, Orange - 50 ct","Sunmark TRUEplus Glucose Tablets, Orange - 50 ct"
"Dr. Scholl's® Men's Diabetic Crew Socks - 4 pairs","Move more comfortably in our men's Diabetes &amp; Circulatory crew socks made with soft yarn and designed with advanced features for the ultimate comfort and relief. Get relief from the ground up finds its home in these crew socks. Perfect from your morning meeting to your evening run and beyond.","Dr.-Scholl's®-Men's-Diabetic-Crew-Socks---4-pairs",active,GeissMed,Health & Beauty > Health Care,Product,box,diabetes,TRUE,,$11.95,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/42825626331/crew_diab_1",1,"Dr. Scholl's® Men's Diabetic Crew Socks - 4 pairs","Dr. Scholl's® Men's Diabetic Crew Socks - 4 pairs"
"True Metrix Self Monitoring Blood Glucose Test Strips - 100 ct","Triple sense technology automatically detects, analyzes and corrects variables in each blood sample to ensure proven accuracy and confidence in results. Tiny blood sample. Easy to handle.","True-Metrix-Self-Monitoring-Blood-Glucose-Test-Strips---100-ct",active,GeissMed,Health & Beauty > Health Care,Product,box,diabetes,TRUE,,$69.99,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/021292006167/638266",1,"True Metrix Self Monitoring Blood Glucose Test Strips - 100 ct","True Metrix Self Monitoring Blood Glucose Test Strips - 100 ct"
"LetsGetChecked Diabetes & Heart Test","LetsGetChecked currently does not offer this test to residents of New York State, Rhode Island, or New Jersey, due to state regulations around at home testing. LetsGetChecked Diabetes &amp; Heart Test is an at home test to help identify or manage both diabetes or pre-diabetes. This test kit will also give you peace of mind in providing insight into your cardiovascular health. Take your health to the next level with this FSA/HSA eligible diagnostic test.","LetsGetChecked-Diabetes-&-Heart-Test",active,GeissMed,Health & Beauty > Health Care,Product,box,diabetes,TRUE,,$62.30,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/860002028019/Diabetes_Heart_Box",1,"LetsGetChecked Diabetes & Heart Test","LetsGetChecked Diabetes & Heart Test"
"Jobst Sensifoot Diabetic Support Compression Crew Socks, Unisex, Black - Large - 1 pair","These support socks offer unparalleled sheerness in a lightweight design that is easy to dress up for a formal look. Ideal for daily activities or more formal occasions. The comfortable JOBST Activewear is your ideal compression sock for any activity.","Jobst-Sensifoot-Diabetic-Support-Compression-Crew-Socks-Unisex-Black---Large---1-pair",active,GeissMed,Health & Beauty > Health Care,Product,box,diabetes,TRUE,,$14.99,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/35664108533/diabetic_sock_large_2",1,"Jobst Sensifoot Diabetic Support Compression Crew Socks, Unisex, Black - Large - 1 pair","Jobst Sensifoot Diabetic Support Compression Crew Socks, Unisex, Black - Large - 1 pair"
"EverlyWell Blood Sugar (HbA1c) Test","We currently do not offer tests to residents of NY, RI, and NJ  due to their state regulations around at home testing. The EverlyWell at home collection hemoglobin A1C test is an easy way to evaluate how well you have been maintaining your blood sugar levels for the past 90 days and can help you determine if dietary changes may be needed.","EverlyWell-Blood-Sugar-(HbA1c)-Test",active,GeissMed,Health & Beauty > Health Care,Product,box,diabetes,TRUE,,$49.00,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/867504000345/HbA1c_-_Box_-_Hero",1,"EverlyWell Blood Sugar (HbA1c) Test","EverlyWell Blood Sugar (HbA1c) Test"
"Silipos Diabetic Gel Crew Sock - 1 Pair","The Silipos Active Diabetic Crew Sock is a single layer sock designed with 1/16″ gel throughout the sole. The gel insole provides added support, cushioning, protection and comfort while reducing friction, shear forces and callus formation.","Silipos-Diabetic-Gel-Crew-Sock---1-Pair",active,GeissMed,Health & Beauty > Health Care,Product,box,diabetes,TRUE,,$21.95,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/614464928116/silipos",1,"Silipos Diabetic Gel Crew Sock - 1 Pair","Silipos Diabetic Gel Crew Sock - 1 Pair"
"Dr. Scholl's® Women's Diabetic Crew Socks  - 4 pairs","Move more comfortably with these women's diabetic crew socks. With a soft, non-binding top that gently conforms to your legs, these socks provide everyday comfort and support from the ground up. These sock help control temperature, odor, and moisture. What more can you ask from a diabetic and circulatory sock.","Dr.-Scholl's®-Women's-Diabetic-Crew-Socks----4-pairs",active,GeissMed,Health & Beauty > Health Care,Product,box,diabetes,TRUE,,$10.95,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/42825611313/wom_diabe_1",1,"Dr. Scholl's® Women's Diabetic Crew Socks  - 4 pairs","Dr. Scholl's® Women's Diabetic Crew Socks  - 4 pairs"
"TRUEdraw Lancing Device","Designed with comfort and ease in mind, the TRUEdraw® Lancing Device, used with the TRUEplus® Lancets (sold separately), provides an easy and efficient way for patients to draw a successful blood sample.","TRUEdraw-Lancing-Device",active,GeissMed,Health & Beauty > Health Care,Product,box,diabetes,TRUE,,$1.66,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/021292142018/062153",1,"TRUEdraw Lancing Device","TRUEdraw Lancing Device"
