Title,Body (HTML),Handle,Status,Vendor,Product Category,Type,Unit Type,Tags,Published,Variant Grams,Variant Price,Variant Requires Shipping,Variant Fulfillment Service,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title
"Pedialyte Electrolyte Solution, Strawberry - 33.8 fl oz","This product quickly replenishes fluids, zinc and electrolytes to help prevent dehydration due to: vomiting &amp; diarrhea, heat exhaustion, intense exercise, travel. Designed for fast, effective rehydration.","Pedialyte-Electrolyte-Solution-Strawberry---33.8-fl-oz",active,GeissMed,Health & Beauty > Health Care,Product,box,nutrition,TRUE,,$5.49,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/070074539843/135873",1,"Pedialyte Electrolyte Solution, Strawberry - 33.8 fl oz","Pedialyte Electrolyte Solution, Strawberry - 33.8 fl oz"
"Pedialyte Electrolyte Solution, Mixed Fruit Flavor - 33.8 fl oz","This product quickly replenishes fluids, zinc and electrolytes to help prevent dehydration due to: vomiting &amp; diarrhea, heat exhaustion, intense exercise, travel. Designed for fast, effective rehydration.","Pedialyte-Electrolyte-Solution-Mixed-Fruit-Flavor---33.8-fl-oz",active,GeissMed,Health & Beauty > Health Care,Product,box,nutrition,TRUE,,$5.49,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/070074803654/726803",1,"Pedialyte Electrolyte Solution, Mixed Fruit Flavor - 33.8 fl oz","Pedialyte Electrolyte Solution, Mixed Fruit Flavor - 33.8 fl oz"
"Pedialyte Electrolyte Solution, Grape - 33.8 fl oz","This product quickly replenishes fluids, zinc and electrolytes to help prevent dehydration due to: vomiting &amp; diarrhea, heat exhaustion, intense exercise, travel. Designed for fast, effective rehydration.","Pedialyte-Electrolyte-Solution-Grape---33.8-fl-oz",active,GeissMed,Health & Beauty > Health Care,Product,box,nutrition,TRUE,,$5.49,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/070074802404/075504",1,"Pedialyte Electrolyte Solution, Grape - 33.8 fl oz","Pedialyte Electrolyte Solution, Grape - 33.8 fl oz"
"Boost Plus Drink, Very Vanilla, 8 fl oz - 24 ct","Boost Very Vanilla Flavored Nutritional Drink is a nutritional shake that provides balanced nutrition as part of your daily diet. This vanilla drink provides 10 grams of high-quality protein per serving to help maintain muscle and 27 vitamins and minerals including vitamins C &amp; D, zinc, iron and selenium, key nutrients for immune support. It is designed to provide nutritional energy with 240 nutrient-rich calories and B-vitamins to help convert food to energy","Boost-Plus-Drink-Very-Vanilla-8-fl-oz---24-ct",active,GeissMed,Health & Beauty > Health Care,Product,box,nutrition,TRUE,,$39.99,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/43900811864/vanilla_8_oz_1",1,"Boost Plus Drink, Very Vanilla, 8 fl oz - 24 ct","Boost Plus Drink, Very Vanilla, 8 fl oz - 24 ct"
"Conair Digital Food Scale","Conair Digital Kitchen Food Scale provides precise measurements for all your meals.  Easy to clean glass top.","Conair-Digital-Food-Scale",active,GeissMed,Health & Beauty > Health Care,Product,box,nutrition,TRUE,,$25.95,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/74108360427/food_scale_main",1,"Conair Digital Food Scale","Conair Digital Food Scale"
"Osmolite 1.5 Nutritional Supplement, Ready-to-Hang, Unflavored, 1000 mL Bottle - 8 ct","Description
Osmolite 1.5 Cal nutrition drink is a low-residue enteral feeding formula for patients needing increased calories and protein. This formula is high in calories to help patients gain and maintain weight and is ideal for those with limited volume tolerance.","Osmolite-1.5-Nutritional-Supplement-Ready-to-Hang-Unflavored-1000-mL-Bottle---8-ct",active,GeissMed,Health & Beauty > Health Care,Product,box,nutrition,TRUE,,$82.95,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/70074627007/osmo_1",1,"Osmolite 1.5 Nutritional Supplement, Ready-to-Hang, Unflavored, 1000 mL Bottle - 8 ct","Osmolite 1.5 Nutritional Supplement, Ready-to-Hang, Unflavored, 1000 mL Bottle - 8 ct"
"Ensure Original Nutrition Shakes Vanilla, 8 oz - 24 ct","Ensure Original nutrition shakes are clinically proven to help gain weight. Each shake contains 16 grams of high-quality protein, 350 calories, 27 vitamins and minerals, and nutrients to support immune-system health, including vitamins A and D, zinc, and antioxidants.* Ensure Origianl protein shakes provide complete, balanced nutrition and are a great meal replacement option!","Ensure-Original-Nutrition-Shakes-Vanilla-8-oz---24-ct",active,GeissMed,Health & Beauty > Health Care,Product,box,nutrition,TRUE,,$39.95,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/70074572659/ensure_vanila",1,"Ensure Original Nutrition Shakes Vanilla, 8 oz - 24 ct","Ensure Original Nutrition Shakes Vanilla, 8 oz - 24 ct"
"Medline Piston Irrigation Syringe, Sterile -  60 mL","Catheter tip control-piston syringe offers uninterrupted action in a single-hand technique.","Medline-Piston-Irrigation-Syringe-Sterile----60-mL",active,GeissMed,Health & Beauty > Health Care,Product,box,nutrition,TRUE,,$1.99,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/10888277317581/irrigation_syringe",1,"Medline Piston Irrigation Syringe, Sterile -  60 mL","Medline Piston Irrigation Syringe, Sterile -  60 mL"
"Ensure Plus Shakes - Vanilla, 8 oz - 24 ct","Ensure Plus nutrition shakes are clinically proven to help gain weight. Each shake contains 16 grams of high-quality protein, 350 calories, 27 vitamins and minerals, and nutrients to support immune-system health, including vitamins A and D, zinc, and antioxidants.","Ensure-Plus-Shakes---Vanilla-8-oz---24-ct",active,GeissMed,Health & Beauty > Health Care,Product,box,nutrition,TRUE,,$64.95,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/70074649054/vanilla_1",1,"Ensure Plus Shakes - Vanilla, 8 oz - 24 ct","Ensure Plus Shakes - Vanilla, 8 oz - 24 ct"
"Jevity 1.5 Cal Formula with Fiber,  Unflavored,  8 oz - 24 ct","Jevity 1.5 Cal is a high protein, fiber fortified formula that provides complete, balanced nutrition for long or short term tube feeding. Jevity 1.5 Cal contains 24 essential vitamins and minerals.","Jevity-1.5-Cal-Formula-with-Fiber--Unflavored--8-oz---24-ct",active,GeissMed,Health & Beauty > Health Care,Product,box,nutrition,TRUE,,$60.99,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/812028031313/1",1,"Jevity 1.5 Cal Formula with Fiber,  Unflavored,  8 oz - 24 ct","Jevity 1.5 Cal Formula with Fiber,  Unflavored,  8 oz - 24 ct"
"Medline Enteral Feeding & Irrigation Single Syringes - 60 cc","Medline Enteral Feeding and Irrigation Syringes are a set of syringes intended for the use of administrating feeding solutions into iv lines or irrigation systems. The syringes are needleless and the elongated tip helps facilitate tube feeding and water flushes.","Medline-Enteral-Feeding-&-Irrigation-Single-Syringes---60-cc",active,GeissMed,Health & Beauty > Health Care,Product,box,nutrition,TRUE,,$2.45,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/10080196993260/single_feeding_syringe_60_cc",1,"Medline Enteral Feeding & Irrigation Single Syringes - 60 cc","Medline Enteral Feeding & Irrigation Single Syringes - 60 cc"
"Ensure Original Nutritional Oral Supplement, Strawberry, 8 oz - 24 ct","Ensure Original nutrition shakes with 9g of high-quality protein provide easy and delicious complete, balanced nutrition. Our shakes contain protein, vitamins A and D, zinc, and antioxidants (vitamins C &amp; E) to support immune health. This nutritional drink is suitable for lactose intolerance* and gluten-free. Enjoy Ensure as a small meal replacement, with a meal, or as a delicious snack to help maintain proper nutrition.","Ensure-Original-Nutritional-Oral-Supplement-Strawberry-8-oz---24-ct",active,GeissMed,Health & Beauty > Health Care,Product,box,nutrition,TRUE,,$47.99,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/70074572710/ensure_straw",1,"Ensure Original Nutritional Oral Supplement, Strawberry, 8 oz - 24 ct","Ensure Original Nutritional Oral Supplement, Strawberry, 8 oz - 24 ct"
"Ensure Original Nutritional Oral Supplement, Vanilla, 8 oz - 24 ct","Designed for individuals who have malnutrition or are at nutritional risk, or are experiencing involuntary weight loss. Complete, balanced nutrition for everyday health; with fiber for digestive health.","Ensure-Original-Nutritional-Oral-Supplement-Vanilla-8-oz---24-ct",active,GeissMed,Health & Beauty > Health Care,Product,box,nutrition,TRUE,,$47.99,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/70074582986/ensure_main",1,"Ensure Original Nutritional Oral Supplement, Vanilla, 8 oz - 24 ct","Ensure Original Nutritional Oral Supplement, Vanilla, 8 oz - 24 ct"
"Boost  Original Drink, Very Vanilla, 8 oz - 24 ct","Getting the right amount of nutrition can be a challenge, especially as we age. The good news is that BOOST Original Drink can help. Enjoy this great-tasting nutritional supplement as a mini meal or between-meal snack. It also provides the nutrients you need, should you miss a meal.","Boost--Original-Drink-Very-Vanilla-8-oz---24-ct",active,GeissMed,Health & Beauty > Health Care,Product,box,nutrition,TRUE,,$50.95,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/43900582764/vanilla",1,"Boost  Original Drink, Very Vanilla, 8 oz - 24 ct","Boost  Original Drink, Very Vanilla, 8 oz - 24 ct"
