Title,Body (HTML),Handle,Status,Vendor,Product Category,Type,Unit Type,Tags,Published,Variant Grams,Variant Price,Variant Requires Shipping,Variant Fulfillment Service,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title
"Goodsense® Night Time Cold & Flu Liquid, Cherry Flavor - 12 oz","GoodSense Nighttime Cold and Flu Relief helps provide cold care through the night. This cold remedy helps relieve cold and flu symptoms so you can rest.","Goodsense®-Night-Time-Cold-&-Flu-Liquid-Cherry-Flavor---12-oz",active,GeissMed,Health & Beauty > Health Care,Product,box,pills,TRUE,,$6.45,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/301130459400/night_time_front",1,"Goodsense® Night Time Cold & Flu Liquid, Cherry Flavor - 12 oz","Goodsense® Night Time Cold & Flu Liquid, Cherry Flavor - 12 oz"
"Ricola Cough Drops The Original Natural Herb - 21 ct","For nearly a century, Ricola has been helping throats feel better naturally. Using high-quality herbs grown high in the Swiss mountains to make our world famous herb cough drop. Along with its pleasing herbal taste and unique square shape, it provides you soothing relief from coughs due to colds or flus.","Ricola-Cough-Drops-The-Original-Natural-Herb---21-ct",active,GeissMed,Health & Beauty > Health Care,Product,box,pills,TRUE,,$2.06,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/036602079175/120643",1,"Ricola Cough Drops The Original Natural Herb - 21 ct","Ricola Cough Drops The Original Natural Herb - 21 ct"
"Ayr Saline Nasal Mist - 1.69 fl oz","Helps moisturize dry nasal passages and relieve dry, crusty and inflamed nasal membranes due to allergies and colds, and is an effective nasal wash for sinuses.","Ayr-Saline-Nasal-Mist---1.69-fl-oz",active,GeissMed,Health & Beauty > Health Care,Product,box,pills,TRUE,,$2.87,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/302250380803/903669",1,"Ayr Saline Nasal Mist - 1.69 fl oz","Ayr Saline Nasal Mist - 1.69 fl oz"
"Goodsense® Multi-Symptom Daytime Cold & Flu Medicine - 12 oz","Temporarily relieves minor aches and pains, headache, sore throat, fever, nasal congestion, and cough due to minor throat and bronchial irritation. Nondrowsy, fast-acting relief of cold and flu symptoms.","Goodsense®-Multi-Symptom-Daytime-Cold-&-Flu-Medicine---12-oz",active,GeissMed,Health & Beauty > Health Care,Product,box,pills,TRUE,,$5.95,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/301130656403/cold_med_2",1,"Goodsense® Multi-Symptom Daytime Cold & Flu Medicine - 12 oz","Goodsense® Multi-Symptom Daytime Cold & Flu Medicine - 12 oz"
"Goodsense® Cold Night/Daytime Multi-Symptom Combo Caplets - 20 ct","Daytime and nighttime relief from fever, headache, sore throat, nasal congestion, coughing and runny nose.*","Goodsense®-Cold-Night/Daytime-Multi-Symptom-Combo-Caplets---20-ct",active,GeissMed,Health & Beauty > Health Care,Product,box,pills,TRUE,,$6.95,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/846036005516/cold_1",1,"Goodsense® Cold Night/Daytime Multi-Symptom Combo Caplets - 20 ct","Goodsense® Cold Night/Daytime Multi-Symptom Combo Caplets - 20 ct"
"Luden's Sore Throat Drops, Wild Cherry - 90 ct","Luden's has been soothing irritated throats with our great tasting drops. Luden's deliciously soothing throat drops help relieve minor discomfort and protect irritated areas in sore mouth and sore throat so you can get on with your day. Luden's Throat Drops come in a variety of delicious flavors and are great for the whole family at home or on-the-go.","Luden's-Sore-Throat-Drops-Wild-Cherry---90-ct",active,GeissMed,Health & Beauty > Health Care,Product,box,pills,TRUE,,$5.95,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/814832010621/cough_drop_1",1,"Luden's Sore Throat Drops, Wild Cherry - 90 ct","Luden's Sore Throat Drops, Wild Cherry - 90 ct"
"Motrin IB, Ibuprofen Caplets, 200 mg - 100 ct","Motrin IB provides pain relief when it counts. With 200 milligrams of ibuprofen in each tablet, Motrin IB works fast to reduce fever and relieve pain due to muscular aches, headache, backache, and minor pain of arthritis.","Motrin-IB-Ibuprofen-Caplets-200-mg---100-ct",active,GeissMed,Health & Beauty > Health Care,Product,box,pills,TRUE,,$15.99,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/300450481016/Motrin_100_MAIN",1,"Motrin IB, Ibuprofen Caplets, 200 mg - 100 ct","Motrin IB, Ibuprofen Caplets, 200 mg - 100 ct"
"Mucinex Expectorant 12 Hour Extended-Release Bi-Layer Tablets - 68 ct","Mucinex Extended-Release Bi-Layer Tablets contain an immediate-release layer on one side and an extended-release layer on the other side.","Mucinex-Expectorant-12-Hour-Extended-Release-Bi-Layer-Tablets---68-ct",active,GeissMed,Health & Beauty > Health Care,Product,box,pills,TRUE,,$24.37,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/363824008868/132725",1,"Mucinex Expectorant 12 Hour Extended-Release Bi-Layer Tablets - 68 ct","Mucinex Expectorant 12 Hour Extended-Release Bi-Layer Tablets - 68 ct"
"Veridian 9-Second Readout Digital Thermometer","The Veridian 9-Second Flex Tip Digital Thermometer is clinically accurate with 2/10ths of a degree Fahrenheit. It can also be switched to measure in degrees Celsius. The comfortable flex tip allows for oral, rectal, or underarm readings with ease. Easy read results for the whole family.","Veridian-9-Second-Readout-Digital-Thermometer",active,GeissMed,Health & Beauty > Health Care,Product,box,pills,TRUE,,$7.99,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/845717002578/Veridian_Flex_Tip_MAIN",1,"Veridian 9-Second Readout Digital Thermometer","Veridian 9-Second Readout Digital Thermometer"
"Theraflu Daytime Severe Cold & Cough Medicine, Berry - 6 ct","Theraflu Daytime Severe Cold and Cough Hot Liquid Powder Berry Infused with Menthol and Green Tea Flavors brings the heat to fight your worst cold and cough symptoms with each power-packed dose.","Theraflu-Daytime-Severe-Cold-&-Cough-Medicine-Berry---6-ct",active,GeissMed,Health & Beauty > Health Care,Product,box,pills,TRUE,,$15.95,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/300677917060/theraflu_new",1,"Theraflu Daytime Severe Cold & Cough Medicine, Berry - 6 ct","Theraflu Daytime Severe Cold & Cough Medicine, Berry - 6 ct"
"Vicks VapoInhaler Portable Non-Medicated Nasal Inhaler, Menthol - 2 ct","From the makers of Vicks VapoRub, one more way to experience soothing Vicks Vapors. Vicks VapoInhaler is a convenient nasal inhaler formulated with a proprietary blend of ingredients including menthol &amp; camphor to give you the same, powerful and soothing scent you know and love from Vicks. It's easy to use - just inhale the soothing &amp; refreshing Vicks vapors through each nostril and use as often as you need to and you're good to go. It's also easy to carry - take it with you in your purse or pocket so you can discretely enjoy the soothing Vicks vapors you need to make it through the day","Vicks-VapoInhaler-Portable-Non-Medicated-Nasal-Inhaler-Menthol---2-ct",active,GeissMed,Health & Beauty > Health Care,Product,box,pills,TRUE,,$14.95,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/323900039247/v1_2",1,"Vicks VapoInhaler Portable Non-Medicated Nasal Inhaler, Menthol - 2 ct","Vicks VapoInhaler Portable Non-Medicated Nasal Inhaler, Menthol - 2 ct"
"Nature's Bounty Vitamin C, 500 mg Time Release Capsules - 100 ct","Vitamin C is one of the most well-known and widely used nutritional supplements on the planet! The Vitamin C in this product has been designed to be released over a prolonged period of time.","Nature's-Bounty-Vitamin-C-500-mg-Time-Release-Capsules---100-ct",active,GeissMed,Health & Beauty > Health Care,Product,box,pills,TRUE,,$6.06,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/074312047503/NB_Vitamin_C_500mg_Caplets_100ct_MAIN",1,"Nature's Bounty Vitamin C, 500 mg Time Release Capsules - 100 ct","Nature's Bounty Vitamin C, 500 mg Time Release Capsules - 100 ct"
"Safetussin PM Night Time Cough Relief Liquid - 4 fl oz","Temporarily relieves cough, runny nose and sneezing. Specially formulated for adults with high blood pressure and diabetes. Up to 8 hours of cough relief to help you rest.","Safetussin-PM-Night-Time-Cough-Relief-Liquid---4-fl-oz",active,GeissMed,Health & Beauty > Health Care,Product,box,pills,TRUE,,$5.03,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/053076173338/404081",1,"Safetussin PM Night Time Cough Relief Liquid - 4 fl oz","Safetussin PM Night Time Cough Relief Liquid - 4 fl oz"
"Alka-Seltzer Effervescent Tablets, Original - 36 ct","For the temporary relief of: heartburn, acid indigestion, and sour stomach when accompanied with headache or body aches and pains; upset stomach with headache from overindulgence in food or drink; headache, body aches, and pain alone.","Alka-Seltzer-Effervescent-Tablets-Original---36-ct",active,GeissMed,Health & Beauty > Health Care,Product,box,pills,TRUE,,$4.49,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/016500564188/409862",1,"Alka-Seltzer Effervescent Tablets, Original - 36 ct","Alka-Seltzer Effervescent Tablets, Original - 36 ct"
"Afrin No Drip Severe Congestion Sinus Relief Nasal Spray - 15 mL","Fast, powerful congestion relief. Afrin No Drip is a nasal decongestant spray with soothing menthol. Just 2 to 3&nbsp;sprays in each nostril from the No Drip bottle is all it takes to shrink nasal membranes and provide you with long-lasting nasal congestion relief.","Afrin-No-Drip-Severe-Congestion-Sinus-Relief-Nasal-Spray---15-mL",active,GeissMed,Health & Beauty > Health Care,Product,box,pills,TRUE,,$8.99,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/41100820334/830842",1,"Afrin No Drip Severe Congestion Sinus Relief Nasal Spray - 15 mL","Afrin No Drip Severe Congestion Sinus Relief Nasal Spray - 15 mL"
