Title,Body (HTML),Handle,Status,Vendor,Product Category,Type,Unit Type,Tags,Published,Variant Grams,Variant Price,Variant Requires Shipping,Variant Fulfillment Service,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title
"Tums Smoothies Chewable Tablet, Assorted Fruit - 140 ct","Tums Smoothies Assorted Fruit Extra Strength Chewable Antacid Tablets start to work in seconds, so you can forget your heartburn and get back to the moments that matter.","Tums-Smoothies-Chewable-Tablet-Assorted-Fruit---140-ct",active,GeissMed,Health & Beauty > Health Care,Product,box,pills,TRUE,,$12.99,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/307667399646/tums_main",1,"Tums Smoothies Chewable Tablet, Assorted Fruit - 140 ct","Tums Smoothies Chewable Tablet, Assorted Fruit - 140 ct"
"Medline Senna Tablet, 8.6 mg - 100 ct","Helps patients return to regularity, gently relieves constipation overnight.","Medline-Senna-Tablet-8.6-mg---100-ct",active,GeissMed,Health & Beauty > Health Care,Product,box,pills,TRUE,,$6.95,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/888277696030/sienna_1",1,"Medline Senna Tablet, 8.6 mg - 100 ct","Medline Senna Tablet, 8.6 mg - 100 ct"
"Prilosec OTC 24 Hour Heartburn Relief Tablets, 20 mg - 42 ct","Treats frequent heartburn (occurs 2 or more days a week).","Prilosec-OTC-24-Hour-Heartburn-Relief-Tablets-20-mg---42-ct",active,GeissMed,Health & Beauty > Health Care,Product,box,pills,TRUE,,$23.95,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/037000359074/608063",1,"Prilosec OTC 24 Hour Heartburn Relief Tablets, 20 mg - 42 ct","Prilosec OTC 24 Hour Heartburn Relief Tablets, 20 mg - 42 ct"
"Medline Anti-Diarrheal Caplets, 2 mg - 12 ct","Antidiarrheal caplet developed to help control symptoms of diarrhea.","Medline-Anti-Diarrheal-Caplets-2-mg---12-ct",active,GeissMed,Health & Beauty > Health Care,Product,box,pills,TRUE,,$2.95,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/884389823425/ant_dia",1,"Medline Anti-Diarrheal Caplets, 2 mg - 12 ct","Medline Anti-Diarrheal Caplets, 2 mg - 12 ct"
"Dramamine Motion Sickness Relief Tablets, Original Formula - 36 ct","Dramamine® Original Formula is the #1 Pharmacist-Recommended Brand for motion sickness. For prevention and treatment of these symptoms associated with motion sickness: nausea, vomiting, dizziness.","Dramamine-Motion-Sickness-Relief-Tablets-Original-Formula---36-ct",active,GeissMed,Health & Beauty > Health Care,Product,box,pills,TRUE,,$13.99,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/831248001999/744901",1,"Dramamine Motion Sickness Relief Tablets, Original Formula - 36 ct","Dramamine Motion Sickness Relief Tablets, Original Formula - 36 ct"
"Imodium® A-D Anti-Diarrheal Softgels - 24 ct","Experience relief and help treat and control diarrhea symptoms with Imodium A-D Anti-Diarrheal Softgels with Loperamide HCl. The proven formula of this anti-diarrheal medicine is designed to work with your body to slow down your system and restore its natural rhythm and balance, often in just one dose.","Imodium®-A-D-Anti-Diarrheal-Softgels---24-ct",active,GeissMed,Health & Beauty > Health Care,Product,box,pills,TRUE,,$17.99,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/300450137241/i2",1,"Imodium® A-D Anti-Diarrheal Softgels - 24 ct","Imodium® A-D Anti-Diarrheal Softgels - 24 ct"
"Gas-X Extra Strength Chewable Tablets, Cherry Creme - 48 ct","For the relief of pressure and bloating commonly referred to as gas. Offers fast, effective relief of pressure and bloating that antacids can't provide. Specially formulated with simethicone, the antigas medicine doctors recommend most for pressure, bloating or discomfort referred to as gas.","Gas-X-Extra-Strength-Chewable-Tablets-Cherry-Creme---48-ct",active,GeissMed,Health & Beauty > Health Care,Product,box,pills,TRUE,,$8.39,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/300430117485/067227",1,"Gas-X Extra Strength Chewable Tablets, Cherry Creme - 48 ct","Gas-X Extra Strength Chewable Tablets, Cherry Creme - 48 ct"
"Dr. Reddy's Delayed-Release Omeprazole, Capsule, 20 mg - 42 ct","Over-the-counter antacid designed to treat frequent heartburn that occurs 2 or more days a week. Delayed release for long-lasting relief.","Dr.-Reddy's-Delayed-Release-Omeprazole-Capsule-20-mg---42-ct",active,GeissMed,Health & Beauty > Health Care,Product,box,pills,TRUE,,$24.95,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/848985000451/dr_reddy_main",1,"Dr. Reddy's Delayed-Release Omeprazole, Capsule, 20 mg - 42 ct","Dr. Reddy's Delayed-Release Omeprazole, Capsule, 20 mg - 42 ct"
"Sunmark Antacid Tablets, 20 mg - 42 ct","Treats frequent heartburn (occurs 2 or more days a week). Not intended for immediate relief of heartburn; this drug may take 1 to 4 days for full effect. Three 14-day courses of treatment.","Sunmark-Antacid-Tablets-20-mg---42-ct",active,GeissMed,Health & Beauty > Health Care,Product,box,pills,TRUE,,$18.99,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/10939172440/qhdggdfokxcjnikghupa",1,"Sunmark Antacid Tablets, 20 mg - 42 ct","Sunmark Antacid Tablets, 20 mg - 42 ct"
"Guardian Sugar Free Orange Fiber Powder - 10 oz","Dietary supplement with 100% natural psyllium fiber helps lower cholesterol to promote heart health and provide overnight relief.","Guardian-Sugar-Free-Orange-Fiber-Powder---10-oz",active,GeissMed,Health & Beauty > Health Care,Product,box,pills,TRUE,,$9.99,FALSE,manual,FALSE,"https://res.cloudinary.com/truepill/image/upload/f_auto,q_auto,c_pad,w_240,h_240/v1/Optum/skus/53041405488/fiber_powder",1,"Guardian Sugar Free Orange Fiber Powder - 10 oz","Guardian Sugar Free Orange Fiber Powder - 10 oz"
